scan_type,dimension,ratio,s1,s2,mean_norm,angle,condition,genuinely_noncommuting,omega_range,range_expansions,grid_points,num_critical_brackets,num_local_minima,multiple_critical_points,multiple_apparent_minima,global_minimizer_grid,global_energy_grid,global_hessian_grid,global_horizontal_grid,refined_minimizer,refined_energy,refined_hessian,smallest_critical_hessian,refined_horizontal_residual,refined_gradient_norm,optimizer_spread,root_count_refined,max_root_horizontal_residual,solver_status
d2_grid,2,0.0001,0.0001,1.0,0.001,0.0,10000.0,0,50.0,0,101,1,1,0,0,0.0,84.83038819018748,36.84501379559187,1.8267768581975037e-16,-1.862300708148119e-07,84.83038819013123,36.84501713803606,36.84503634268857,1.715412537916101e-06,6.861658971790918e-06,1.914697462365939e-07,1,1.1451449074780037e-16,optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>
d2_grid,2,0.0001,0.0001,1.0,0.001,0.2617993877991494,10000.0,1,50.0,0,101,1,1,0,0,0.0,84.83038709007657,36.84501893722292,9.016122609095397e-07,-9.788102037808821e-08,84.83038709003384,36.84501893696154,36.84501893713615,5.249430891634703e-12,3.057169556688243e-11,8.037248857293766e-07,1,5.452253169758374e-16,optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>
d2_grid,2,0.0001,0.0001,1.0,0.001,0.5235987755982988,10000.0,1,50.0,0,101,1,1,0,0,0.0,84.83038408454244,36.845023852444584,1.5616384785676536e-06,-1.952043113991225e-07,84.83038408450923,36.845023852416944,36.84502385244603,2.3643839812671957e-07,9.45738236526962e-07,2.566902588708911e-08,1,7.567661613856884e-16,optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>|optimistix._solution.RESULTS<>
